,cartoon_names,release_date,end_date,Genres,imdb_score,runtime
0,Yogi Bear,1961,1988,"Anime, Comedy, Family",6.6,27.0
1,The New Yogi Bear Show,1988,1990,"Anime, Comedy, Family",6.6,2.0
2,The Huckleberry Hound Show,1958,1962,"Anime, Comedy, Family",6.6,4.0
3,Popeye the Sailor,1960,1962,"Anime, Adventure, Comedy",7.1,2.0
4,The Bugs Bunny Show,1960,1975,"Anime, Comedy, Family",8.6,15.0
5,The Road Runner Show,1966,1973,"Anime, Comedy, Family",7.9,7.0
6,The Bugs Bunny/Road Runner Show,1978,1985,"Anime, Comedy, Family",8.3,7.0
7,The Bugs Bunny/Road Runner Hour,1968,1978,"Anime, Comedy, Family",8.5,10.0
8,"The Sylvester & Tweety, Daffy & Speedy Show",1981,1985,"Anime, Comedy, Family",7.4,4.0
9,The Bugs Bunny and Tweety Show,1986,2000,"Anime, Comedy, Family",7.8,14.0
10,The Bugs n' Daffy Show,1996,1999,"Anime, Comedy, Family",8.1,3.0
11,The All-New Popeye Hour,1978,1983,"Anime, Short, Adventure",7.0,5.0
12,The Pink Panther,1993,1996,"Anime, Comedy, Family",6.8,3.0
13,The Pink Panther Show,1969,2011,"Anime, Comedy, Family",7.6,42.0
14,The Secret Squirrel Show,1965,2003,"Anime, Crime, Family",6.7,38.0
15,The Atom Ant/Secret Squirrel Show,1967,1968,"Anime, Comedy, Family",7.0,1.0
16,The Atom Ant Show,1965,1968,"Anime, Action, Comedy",6.4,3.0
17,Kick Buttowski: Fearless City Boy,2010,2012,"Anime, Action, Adventure",6.6,2.0
18,Tom & Jerry Kids Show,1990,1994,"Anime, Comedy, Family",6.2,4.0
19,Tom and Jerry Tales,2006,2008,"Anime, Comedy, Family",7.3,2.0
20,The Tom and Jerry Show,2014,2022,"Anime, Short, Adventure",7.0,8.0
21,The New Adventures of Tom and Jerry,1980,1982,"Anime, Comedy, Family",7.6,2.0
22,Wacky Races,1968,1970,"Anime, Comedy, Family",7.5,2.0
23,The Perils of Penelope Pitstop,1969,1971,"Anime, Comedy, Family",6.4,2.0
24,Wait Till Your Father Gets Home,1972,1974,"Anime, Comedy, Family",7.7,2.0
25,Duck Dodgers,2003,2005,"Anime, Short, Action",7.8,2.0
